127.0.0.1 - - [11/Jun/2022:20:33:44 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [11/Jun/2022:20:33:46 +0900] "GET /comfit/user_search_product.jsp HTTP/1.1" 200 5099
0:0:0:0:0:0:0:1 - - [11/Jun/2022:20:33:46 +0900] "GET /comfit/css/user_search_product.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [11/Jun/2022:20:33:46 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [11/Jun/2022:20:33:56 +0900] "POST /comfit/search.action HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [11/Jun/2022:20:33:56 +0900] "POST /comfit/search.action HTTP/1.1" 200 22664
0:0:0:0:0:0:0:1 - - [11/Jun/2022:20:33:56 +0900] "GET /comfit/css/user_search_product.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [11/Jun/2022:20:35:07 +0900] "GET /comfit/user_search_product.jsp HTTP/1.1" 200 5099
0:0:0:0:0:0:0:1 - - [11/Jun/2022:20:35:07 +0900] "GET /comfit/css/user_search_product.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [11/Jun/2022:20:35:07 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [11/Jun/2022:20:35:09 +0900] "POST /comfit/search.action HTTP/1.1" 200 22435
0:0:0:0:0:0:0:1 - - [11/Jun/2022:20:35:09 +0900] "GET /comfit/css/user_search_product.css HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [11/Jun/2022:20:35:30 +0900] "POST /comfit/retunsell.action HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [11/Jun/2022:20:35:30 +0900] "POST /comfit/retunsell.action HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [11/Jun/2022:20:35:31 +0900] "POST /comfit/retunsell.action HTTP/1.1" 404 762
