127.0.0.1 - - [21/Jun/2022:14:40:40 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [21/Jun/2022:14:40:46 +0900] "GET /comfit/user_delivery_seller_edit.action HTTP/1.1" 200 16520
0:0:0:0:0:0:0:1 - - [21/Jun/2022:14:40:46 +0900] "GET /js/bootstrap.js HTTP/1.1" 404 769
0:0:0:0:0:0:0:1 - - [21/Jun/2022:14:40:46 +0900] "GET /comfit/headers.css HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [21/Jun/2022:14:40:46 +0900] "GET /comfit/css/jquery-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:14:40:46 +0900] "GET /comfit/css/inputstyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:14:40:46 +0900] "GET /comfit/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Jun/2022:14:40:46 +0900] "GET /comfit/jQuery.MultiFile.min.js HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [21/Jun/2022:14:40:46 +0900] "GET /comfit/css/main.css HTTP/1.1" 200 637
0:0:0:0:0:0:0:1 - - [21/Jun/2022:14:40:46 +0900] "GET /comfit/images/logo.png HTTP/1.1" 200 9658
0:0:0:0:0:0:0:1 - - [21/Jun/2022:14:40:46 +0900] "GET /favicon.ico HTTP/1.1" 404 761
0:0:0:0:0:0:0:1 - - [21/Jun/2022:14:40:47 +0900] "GET /comfit/comfit.action HTTP/1.1" 200 39179
0:0:0:0:0:0:0:1 - - [21/Jun/2022:14:40:47 +0900] "GET /comfit/headers.css HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [21/Jun/2022:14:40:47 +0900] "GET /comfit/images/27GN750.jpg HTTP/1.1" 200 536478
0:0:0:0:0:0:0:1 - - [21/Jun/2022:14:40:47 +0900] "GET /comfit/images/i7%2010700.jpg HTTP/1.1" 200 22657
0:0:0:0:0:0:0:1 - - [21/Jun/2022:14:40:47 +0900] "GET /comfit/images/rtx%203060.jpg HTTP/1.1" 200 407623
0:0:0:0:0:0:0:1 - - [21/Jun/2022:14:40:47 +0900] "GET /comfit/images/%EB%A7%A5%EC%8A%A4%ED%8B%B8%20%EB%A7%88%EC%9A%B0%EC%8A%A4.jpg HTTP/1.1" 200 181407
0:0:0:0:0:0:0:1 - - [21/Jun/2022:14:40:47 +0900] "GET /comfit/images/%ED%95%9C%EC%84%B1gk893.jpg HTTP/1.1" 200 163903
0:0:0:0:0:0:0:1 - - [21/Jun/2022:14:40:47 +0900] "GET /comfit/images/g304.jpg HTTP/1.1" 200 5914
0:0:0:0:0:0:0:1 - - [21/Jun/2022:14:40:47 +0900] "GET /comfit/images/gtx%201060.jpg HTTP/1.1" 200 15817
