127.0.0.1 - - [19/Jun/2022:20:41:23 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [19/Jun/2022:20:41:36 +0900] "GET /comfit/headers.css HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [19/Jun/2022:20:41:36 +0900] "GET /comfit/headers.css HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [19/Jun/2022:20:41:36 +0900] "GET /comfit/comfit.action HTTP/1.1" 200 39179
0:0:0:0:0:0:0:1 - - [19/Jun/2022:20:41:36 +0900] "GET /comfit/images/ssd.jpg HTTP/1.1" 404 779
0:0:0:0:0:0:0:1 - - [19/Jun/2022:20:41:42 +0900] "POST /comfit/loginform.action HTTP/1.1" 200 8745
0:0:0:0:0:0:0:1 - - [19/Jun/2022:20:41:42 +0900] "GET /comfit/headers.css HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [19/Jun/2022:20:41:46 +0900] "POST /comfit/login.action HTTP/1.1" 200 39740
0:0:0:0:0:0:0:1 - - [19/Jun/2022:20:41:46 +0900] "GET /comfit/headers.css HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [19/Jun/2022:20:41:46 +0900] "GET /comfit/images/20612627710.20191022173313.jpg HTTP/1.1" 200 140792
0:0:0:0:0:0:0:1 - - [19/Jun/2022:20:41:46 +0900] "GET /comfit/images/%ED%8C%8C%EC%9B%8C.jpg HTTP/1.1" 200 7721
0:0:0:0:0:0:0:1 - - [19/Jun/2022:20:41:46 +0900] "GET /comfit/images/%EB%85%B8%ED%8A%B8%EB%B6%81.jpg HTTP/1.1" 200 3500
0:0:0:0:0:0:0:1 - - [19/Jun/2022:20:41:46 +0900] "GET /comfit/images/%EB%8D%B0%EC%9D%B4%EB%B8%90%EC%BC%80%EC%9D%B4%EC%8A%A4.jpg HTTP/1.1" 200 7921
0:0:0:0:0:0:0:1 - - [19/Jun/2022:20:41:46 +0900] "GET /comfit/images/14266774952.20200629164635.jpg HTTP/1.1" 200 232218
0:0:0:0:0:0:0:1 - - [19/Jun/2022:20:41:46 +0900] "GET /comfit/images/%EB%9E%A8.jpg HTTP/1.1" 200 7165
0:0:0:0:0:0:0:1 - - [19/Jun/2022:20:41:55 +0900] "GET /comfit/categorySelect.action?categoryName=CPU HTTP/1.1" 200 10766
0:0:0:0:0:0:0:1 - - [19/Jun/2022:20:41:55 +0900] "GET /comfit/headers.css HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [19/Jun/2022:20:41:56 +0900] "GET /comfit/categorySelect.action?categoryName=RAM HTTP/1.1" 200 10077
0:0:0:0:0:0:0:1 - - [19/Jun/2022:20:41:56 +0900] "GET /comfit/headers.css HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [19/Jun/2022:20:43:07 +0900] "GET /comfit/user_direct_seller_edit.action HTTP/1.1" 200 22087
0:0:0:0:0:0:0:1 - - [19/Jun/2022:20:43:07 +0900] "GET /comfit/css/bootstrap.css HTTP/1.1" 200 207393
0:0:0:0:0:0:0:1 - - [19/Jun/2022:20:43:07 +0900] "GET /comfit/css/timepicker.min.css HTTP/1.1" 404 787
